k,coverage,strat
128,3219,Random
129,3220,Random
130,3221,Random
131,3258,Random
132,3260,Random
133,3264,Random
134,3266,Random
135,3266,Random
136,3279,Random
1,4,Random
2,6,Random
3,30,Random
4,39,Random
5,48,Random
6,49,Random
7,51,Random
8,53,Random
9,56,Random
10,78,Random
11,447,Random
12,451,Random
13,454,Random
14,456,Random
15,457,Random
16,459,Random
17,665,Random
18,681,Random
19,722,Random
20,747,Random
21,749,Random
22,851,Random
23,865,Random
24,866,Random
25,868,Random
26,871,Random
27,873,Random
28,892,Random
29,894,Random
30,898,Random
31,908,Random
32,909,Random
33,913,Random
34,917,Random
35,918,Random
36,920,Random
37,927,Random
38,931,Random
39,934,Random
40,948,Random
41,950,Random
42,952,Random
43,956,Random
44,959,Random
45,963,Random
46,965,Random
47,973,Random
48,974,Random
49,980,Random
50,1244,Random
51,1282,Random
52,1365,Random
53,1367,Random
54,1380,Random
55,1384,Random
56,1385,Random
57,1388,Random
58,1390,Random
59,1396,Random
60,1397,Random
61,1399,Random
62,1407,Random
63,1409,Random
64,1411,Random
65,1433,Random
66,1435,Random
67,1437,Random
68,1438,Random
69,1450,Random
70,1450,Random
71,1453,Random
72,1454,Random
73,1456,Random
74,1547,Random
75,1581,Random
76,1584,Random
77,1586,Random
78,1587,Random
79,1602,Random
80,1603,Random
81,1605,Random
82,1616,Random
83,1618,Random
84,1640,Random
85,1642,Random
86,1645,Random
87,1661,Random
88,1663,Random
89,1680,Random
90,1702,Random
91,1703,Random
92,1705,Random
93,1706,Random
94,2314,Random
95,2316,Random
96,2326,Random
97,2393,Random
98,2430,Random
99,2431,Random
100,2432,Random
101,2436,Random
102,2845,Random
103,2846,Random
104,2851,Random
105,2853,Random
106,2862,Random
107,2876,Random
108,2880,Random
109,2884,Random
110,2886,Random
111,2889,Random
112,2892,Random
113,2895,Random
114,2896,Random
115,2906,Random
116,2908,Random
117,2909,Random
118,2910,Random
119,2951,Random
120,2953,Random
121,2953,Random
122,2958,Random
123,2960,Random
124,2961,Random
125,2963,Random
126,3029,Random
127,3034,Random
128,3137,Random
129,3142,Random
130,3153,Random
131,3155,Random
