k,coverage,strat
26,780,Random
27,782,Random
28,785,Random
29,787,Random
30,789,Random
31,793,Random
32,807,Random
33,848,Random
34,850,Random
35,852,Random
36,856,Random
37,857,Random
38,860,Random
39,1124,Random
40,1207,Random
41,1208,Random
42,1213,Random
43,1213,Random
44,1228,Random
45,1231,Random
46,1232,Random
47,1234,Random
48,1236,Random
49,1237,Random
50,1239,Random
51,1243,Random
52,1245,Random
53,1248,Random
54,1260,Random
55,1279,Random
56,1281,Random
57,1285,Random
58,1290,Random
59,1299,Random
60,1313,Random
61,1335,Random
62,1425,Random
63,1427,Random
64,1428,Random
65,1429,Random
66,1431,Random
67,1436,Random
68,1438,Random
69,1439,Random
70,1449,Random
71,1450,Random
72,1858,Random
73,1859,Random
74,1860,Random
75,1862,Random
76,1896,Random
77,1898,Random
78,1900,Random
79,1909,Random
80,1916,Random
81,1917,Random
82,1920,Random
83,1926,Random
84,1993,Random
85,1996,Random
86,1998,Random
87,2000,Random
88,2002,Random
89,2018,Random
90,2121,Random
91,2123,Random
92,2135,Random
93,2174,Random
94,2197,Random
95,2200,Random
96,2288,Random
97,2658,Random
98,2675,Random
99,2696,Random
100,2733,Random
101,2763,Random
102,2765,Random
103,2806,Random
104,2808,Random
105,2810,Random
106,2817,Random
107,2817,Random
108,2818,Random
109,2818,Random
110,2820,Random
111,2822,Random
112,2824,Random
113,2833,Random
114,2834,Random
115,2835,Random
116,2836,Random
117,2903,Random
118,2905,Random
119,2906,Random
120,2908,Random
121,2910,Random
122,3012,Random
123,3013,Random
124,3015,Random
125,3019,Random
126,3021,Random
127,3022,Random
128,3047,Random
129,3051,Random
130,3062,Random
131,3265,Random
132,3269,Random
133,3272,Random
134,3274,Random
135,3275,Random
136,3278,Random
1,7,Random
2,12,Random
3,26,Random
4,42,Random
5,450,Random
6,453,Random
7,468,Random
8,470,Random
9,484,Random
10,494,Random
11,495,Random
12,533,Random
13,540,Random
14,542,Random
15,553,Random
16,565,Random
17,648,Random
18,650,Random
19,651,Random
20,653,Random
21,720,Random
22,722,Random
23,725,Random
24,728,Random
25,730,Random
26,731,Random
27,773,Random
28,775,Random
29,777,Random
30,778,Random
31,1042,Random
32,1083,Random
33,1087,Random
34,1091,Random
35,1092,Random
36,1094,Random
37,1096,Random
38,1107,Random
39,1109,Random
40,1112,Random
41,1120,Random
42,1122,Random
43,1128,Random
44,1130,Random
45,1132,Random
46,1142,Random
47,1209,Random
48,1243,Random
49,1249,Random
50,1251,Random
51,1339,Random
52,1345,Random
53,1357,Random
54,1358,Random
55,1366,Random
56,1370,Random
57,1372,Random
58,1462,Random
59,1464,Random
60,1467,Random
61,1467,Random
62,1489,Random
63,1491,Random
64,1494,Random
65,1496,Random
66,1497,Random
67,1498,Random
68,1500,Random
69,1503,Random
70,1506,Random
71,1511,Random
72,1521,Random
73,1537,Random
74,1539,Random
75,1553,Random
76,1557,Random
77,1566,Random
78,1576,Random
79,1598,Random
80,1599,Random
81,1601,Random
82,1604,Random
83,1606,Random
84,1609,Random
85,1611,Random
86,1615,Random
87,1654,Random
88,1656,Random
89,1658,Random
90,1661,Random
91,2269,Random
92,2272,Random
93,2273,Random
94,2279,Random
95,2281,Random
96,2283,Random
97,2285,Random
98,2303,Random
99,2333,Random
100,2334,Random
101,2338,Random
102,2338,Random
103,2341,Random
104,2444,Random
105,2465,Random
106,2490,Random
107,2507,Random
108,2508,Random
109,2509,Random
110,2531,Random
111,2535,Random
112,2536,Random
113,2539,Random
114,2541,Random
115,2550,Random
116,2554,Random
117,2554,Random
118,2555,Random
119,2557,Random
120,2761,Random
121,2762,Random
122,2764,Random
123,2766,Random
124,2768,Random
125,2771,Random
126,2772,Random
127,2795,Random
128,2797,Random
129,2798,Random
130,2799,Random
131,2901,Random
132,2903,Random
133,3271,Random
134,3272,Random
135,3273,Random
136,3276,Random
1,5,Random
2,10,Random
3,20,Random
4,23,Random
5,27,Random
6,29,Random
7,34,Random
8,36,Random
9,37,Random
10,40,Random
11,65,Random
12,68,Random
13,75,Random
14,76,Random
15,77,Random
16,79,Random
17,82,Random
18,84,Random
19,86,Random
20,90,Random
21,180,Random
22,183,Random
23,288,Random
24,304,Random
25,305,Random
26,307,Random
27,311,Random
28,316,Random
29,320,Random
30,324,Random
31,325,Random
32,341,Random
33,344,Random
34,346,Random
35,754,Random
36,766,Random
37,785,Random
38,807,Random
39,809,Random
40,826,Random
41,828,Random
42,829,Random
43,896,Random
44,998,Random
45,1000,Random
46,1001,Random
47,1005,Random
48,1007,Random
49,1013,Random
50,1014,Random
51,1015,Random
52,1029,Random
53,1038,Random
54,1040,Random
55,1042,Random
56,1084,Random
57,1089,Random
58,1090,Random
59,1092,Random
60,1094,Random
61,1096,Random
62,1098,Random
63,1100,Random
64,1123,Random
65,1125,Random
66,1127,Random
67,1136,Random
68,1145,Random
69,1212,Random
70,1215,Random
71,1216,Random
72,1216,Random
73,1420,Random
74,1422,Random
75,1424,Random
76,1426,Random
77,1440,Random
78,1481,Random
79,1495,Random
80,1497,Random
81,1499,Random
82,1536,Random
83,1540,Random
84,1542,Random
85,1543,Random
86,1545,Random
87,1547,Random
88,1548,Random
89,1630,Random
90,1633,Random
91,1636,Random
92,1639,Random
93,1640,Random
94,1648,Random
95,1650,Random
96,2258,Random
97,2272,Random
98,2302,Random
99,2303,Random
100,2304,Random
101,2316,Random
102,2317,Random
103,2319,Random
104,2687,Random
105,2689,Random
106,2691,Random
107,2728,Random
108,2730,Random
109,2732,Random
110,2736,Random
111,2747,Random
112,2769,Random
113,2791,Random
114,2799,Random
115,2833,Random
116,2835,Random
117,3099,Random
118,3187,Random
119,3188,Random
120,3193,Random
121,3215,Random
122,3219,Random
123,3219,Random
124,3221,Random
125,3222,Random
126,3232,Random
127,3234,Random
128,3236,Random
129,3238,Random
130,3245,Random
131,3250,Random
132,3251,Random
133,3256,Random
134,3257,Random
135,3267,Random
136,3268,Random
1,17,Random
2,24,Random
3,25,Random
4,34,Random
5,39,Random
6,45,Random
7,47,Random
8,61,Random
9,65,Random
10,66,Random
11,89,Random
12,93,Random
13,109,Random
14,111,Random
15,113,Random
16,122,Random
17,124,Random
18,191,Random
19,193,Random
20,196,Random
21,198,Random
22,200,Random
